Rank,DisplayName,Balance,Trades,ProductsTraded,DailyPnl,TotalPnl
295,Gabriel C,27630.0,12,SIL,0.0,2630.0
296,Sanghyun Woo,27625.0,1,ZC,2750.0,2625.0
297,Sohit,27619.5,80,"SIL, MGC",6910.0,2619.5
298,Shakalulu,27594.5,19,"MGC, GC",0.0,2594.5
299,Nogg Trader,27593.0,17,MNQ,-694.0,2593.0
300,Abhi,27591.0,29,"CL, MGC",-3887.0,2591.0
301,PJDubs,27546.55,86,"SIL, MBT",-765.0,2546.55
302,Lokajit D,27510.0,3,MGC,0.0,2510.0
303,Vikas,27497.0,1,MGC,1620.0,2497.0
304,Noah Hova,27469.0,16,"SIL, MCL",-11720.0,2469.0
305,Sunil ,27423.75,24,"6J, PL",4515.0,2423.75
306,Cello,27414.5,2,MNQ,0.0,2414.5
307,Steven,27400.0,71,"ES, GC",1742.5,2400.0
308,DeathValleyTiger1986,27398.7,9,"6J, CL",-385.75,2398.7
309,Kerry Heard,27387.5,8,ES,0.0,2387.5
310,ChrisG,27341.65,100,"SIL, MGC",-6171.0,2341.65
311,jil,27340.4,68,"ES, BFF",2798.1,2340.4
312,ar19909,27317.5,4,"ES, SIL",0.0,2317.5
313,AlgoAsherGator,27315.65,25,"MYM, MNQ",-203.75,2315.65
314,radosavljevic,27301.0,46,"MGC, SIL",-274.0,2301.0
315,Hyperplanz,27290.0,7,"NG, GC",-3055.0,2290.0
316,alamy2005,27290.0,5,"SIL, PL",-2355.0,2290.0
317,Zee,27282.7,139,"SIL, MCL",9432.0,2282.7
318,Mjaman ,27225.0,17,ES,-225.0,2225.0
319,JoeMan,27200.0,5,"6E, 6A",2000.0,2200.0
320,GAB,27163.93,22,"MYM, YM",-473.33,2163.92
321,Rory K.,27145.9,81,"SIL, MBT",33.25,2145.9
322,ABDOULAHI CISSE,27138.0,10,MGC,1853.0,2138.0
323,Paul Mock,27133.45,9,"MBT, MGC",393.12,2133.45
324,Hamba 4LL4H,27126.19,73,"MNQ, MGC",2713.8,2126.19
325,Yevgeniy,27125.0,18,"BZ, 6S",2238.75,2125.0
326,LotteryDev,27087.5,4,ES,0.0,2087.5
327,kramerica,27087.5,15,"SIL, ZW",-1677.5,2087.5
328,Joao Jardim,27064.5,10,MNQ,1242.5,2064.5
329,cpalma,27062.0,5,MNQ,-1739.5,2062.0
330,happy,27059.5,6,"ES, MNQ",0.0,2059.5
331,John W,27050.0,185,MNQ,0.0,2050.0
332,Karan,27046.0,6,MGC,0.0,2046.0
333,illusivenick,27045.0,7,"SIL, GC",0.0,2045.0
334,Tsegay,27025.0,1,ES,875.0,2025.0
335,LDTR,27014.25,53,"1OZ, MNG",-5012.0,2014.25
336,Sharkfist,26980.0,28,NG,-1700.0,1980.0
337,CavernsBoy,26980.0,77,"SIL, MGC",0.0,1980.0
338,Stephie,26962.35,171,"MGC, SIL",-2611.5,1962.35
339,Da Trader,26906.25,3,MES,862.5,1906.25
340,Robert Nicholson,26883.2,312,"MNQ, MGC",441.44,1883.2
341,stormfall,26858.0,10,"MNQ, PL",-1491.0,1858.0
342,Estefano,26827.5,52,"CL, ZL",1522.5,1827.5
343,Kenzo Cash Money,26798.5,14,"MNQ, MBT",-2320.5,1798.5
344,The Different Trader,26777.7,133,"ES, MNQ",-962.5,1777.7
345,Mi Tran,26774.5,30,"SIL, MNQ",-249.5,1774.5
346,Praveen,26774.0,27,"MNQ, SIL",0.0,1774.0
347,AV1.2,26758.15,22,"MYM, MGC",1502.25,1758.15
348,sebastian avila,26748.56,111,"MNQ, MBT",111.0,1748.56
349,lioneuece,26737.5,2,ES,0.0,1737.5
350,Kalev,26727.5,8,MNQ,-1887.0,1727.5
351,unicus,26725.0,14,ES,0.0,1725.0
352,Nep,26580.0,18,SIL,0.0,1580.0
353,Muhammad Adeel Khan,26575.0,2,MES,0.0,1575.0
354,VARUN,26566.0,63,"SIL, MGC",1315.0,1566.0
355,starter,26540.5,13,"MGC, NG",0.0,1540.5
356,5KTrading,26525.0,4,ES,0.0,1525.0
357,seandunaway,26525.0,22,ES,0.0,1525.0
358,Richard Nolan,26520.0,11,"MBT, HG",-59.0,1520.0
359,Lach,26514.35,23,"MNQ, MNI",0.0,1514.35
360,hkhalil,26507.0,11,MNQ,-248.5,1507.0
361,SKAR,26502.47,47,"MYM, MET",-588.57,1502.47
362,rua38,26501.0,38,"MNQ, ES",499.5,1501.0
363,AdiKash,26489.0,30,"MGC, ES",522.0,1489.0
364,StevieJ,26475.0,10,ES,0.0,1475.0
365,Eduardo Paez,26474.5,18,"GC, ZC",0.0,1474.5
366,Kengi Mc,26466.0,36,"MGC, SIL",-8790.0,1466.0
367,Namo,26450.0,3,"6B, ES",875.0,1450.0
368,zovani,26449.0,11,MNQ,875.5,1449.0
369,Eric_M_Trades,26445.22,50,"ES, MNQ",-1242.5,1445.22
370,JOHN E PARIS CTP,26437.5,9,HG,-4212.5,1437.5
371,Punziconia,26429.0,6,MNQ,-745.5,1429.0
372,EVANL57,26417.25,98,"MGC, HG",0.0,1417.25
373,raBBiT,26414.0,5,"MNQ, MGC",1242.5,1414.0
374,SpeedyTurtleTrading,26411.5,11,MNQ,0.0,1411.5
375,Melissa Trades,26396.5,22,MNQ,0.0,1396.5
376,SEA Anuar Hashim,26390.0,19,CL,340.0,1390.0
377,sudhanshu,26385.0,9,MGC,2592.0,1385.0
378,Chas,26376.5,30,"SIL, MNQ",0.0,1376.5
379,yjsgx_,26371.72,34,MNQ,1363.9,1371.72
380,Ganja Trades,26364.5,10,MNQ,-1739.5,1364.5
381,Hunain Khalid,26360.0,187,"MNQ, MBT",0.0,1360.0
382,MoneyStream,26348.5,3,"SIL, HG",-5665.5,1348.5
383,Maverick.1,26345.0,6,SIL,0.0,1345.0
384,Prathviraj,26334.5,24,"SIL, MNQ",0.0,1334.5
385,jimm,26328.75,9,"MYM, YM",-727.25,1328.75
386,Vitaly,26307.5,21,"SIL, MBT",550.0,1307.5
387,russ,26295.5,1,MNQ,-1491.0,1295.5
388,DoublePeak,26282.0,13,MGC,0.0,1282.0
389,Johns,26275.0,30,"ES, MES",712.5,1275.0
390,Wisdom App,26264.0,41,"MGC, HG",-2916.0,1264.0
391,Goldie,26263.0,6,"CL, MGC",2592.0,1263.0
392,BLADERUNNER ,26260.87,21,"MNQ, MES",-3.0,1260.87
393,avocado,26240.0,4,"CL, SIL",0.0,1240.0
394,Jarell,26237.5,42,"MGC, MES",-150.0,1237.5
395,Hawaii2017,26224.0,2,MNQ,1739.5,1224.0
396,NewHighs,26211.16,3,"MNI, MYM",880.26,1211.16
397,RusKay,26209.2,17,"MET, 6J",850.0,1209.2
398,DMH,26191.5,77,"SIL, MGC",-5112.5,1191.5
399,Sam,26191.5,38,"MBT, NG",1188.0,1191.5
400,SosoYasSoso,26175.0,14,"MNQ, MYM",-1739.5,1175.0
401,OC,26171.0,15,"HE, SIL",865.0,1171.0
402,Mani_BG,26150.0,17,ES,100.0,1150.0
403,blancourko,26143.5,16,"NG, 1OZ",0.0,1143.5
404,RBOT,26137.0,19,"MGC, MNQ",0.0,1137.0
405,Bob Doviak,26125.0,1,ES,875.0,1125.0
406,Selekta,26118.75,13,"ES, MES",0.0,1118.75
407,Aman,26101.0,33,"MGC, GC",-3240.0,1101.0
408,Wayne-Gro Trading,26099.8,20,"MCL, MNQ",-5647.2,1099.8
409,TW ss hsu Wish u a good life,26098.0,8,MNQ,0.0,1098.0
410,Khelt,26089.55,146,"LE, MNQ",688.5,1089.55
411,Phoenix,26080.0,5,"MGC, MNQ",1080.0,1080.0
412,Vedant Amrutkar,26079.0,3,"M2K, MET",943.5,1079.0
413,Mentalofcap,26062.0,5,"MNQ, MGC",2516.5,1062.0
414,CAPTAIN,26060.22,46,"MNQ, M2K",-788.0,1060.22
415,PipSqueak_Run,26045.0,6,"MGC, MES",1529.0,1045.0
416,Filip Szypko,26043.0,39,MGC,0.0,1043.0
417,RookieTradesNQ,26042.0,2,MNQ,0.0,1042.0
418,One14Miller,26027.09,12,"HG, TTF",0.0,1027.09
419,Carlos Martins,26011.25,14,"ES, MES",0.0,1011.25
420,ustrader,26003.46,12,"MBT, CL",-1976.01,1003.46
421,Joe The Extreme Trader sssssssmmmmiiiiiiiith,25996.0,1,MNQ,1739.5,996.0
422,TheO'HareTrade,25990.0,1,CL,3950.0,990.0
423,Roman Moebius,25988.0,24,"NG, MNG",-324.0,988.0
424,BBS26,25979.0,11,"MGC, CL",0.0,979.0
425,Adolf0,25975.0,35,ES,0.0,975.0
426,Jacob Dorton,25947.5,5,"CL, MES",5540.0,947.5
427,Varad Gandhi,25932.7,10,"SIL, ES",-2130.0,932.7
428,FCS,25925.0,5,SIL,-7570.0,925.0
429,Robyvecchio,25912.0,23,"MGC, NG",0.0,912.0
430,Damir Khasianov,25887.5,14,ES,0.0,887.5
431,JSwell,25880.0,3,"MNQ, MGC",1281.0,880.0
432,Alaye2008,25874.4,101,"MNQ, MGC",-1739.5,874.4
433,JJ Trader,25869.0,15,"UB, M2K",-2031.25,869.0
434,MyanmarTrader,25855.0,228,MGC,12.0,855.0
435,ExoProtocol,25849.5,4,"MNQ, MGC",779.0,849.5
436,Makc,25844.5,8,MNQ,-1739.5,844.5
437,$uDU,25827.0,1,MGC,2592.0,827.0
438,Johnzii,25820.0,16,"MGC, MNQ",-311.0,820.0
439,Charles Ngalle,25805.5,6,"MES, MYM",-1600.0,805.5
440,Shipp42,25750.0,1,ES,875.0,750.0
441,Muhammad Dawood Chaudhary,25750.0,1,ES,875.0,750.0
442,JKimmy,25747.5,2,MES,0.0,747.5
443,Evolver85,25747.25,8,"MBT, 6J",0.0,747.25
444,TeddyM,25746.0,29,MNQ,1659.5,746.0
445,Rohboot,25740.62,20,"GC, MGC",-3187.0,740.62
446,shubh,25740.0,6,NG,0.0,740.0
447,ChrLun,25737.0,2,MBT,0.0,737.0
448,Kevin Trinh,25718.0,28,"MGC, MES",0.0,718.0
449,Yonatan.B,25712.5,59,ES,875.0,712.5
450,Hoa,25707.74,46,MNQ,0.0,707.74
451,KTrader,25701.32,10,"MNQ, MES",0.0,701.32
452,sammysingh,25697.5,145,"ES, CL",-1667.5,697.5
453,DaGeneral,25678.5,10,MNQ,0.0,678.5
454,Karan Sarvade,25675.0,12,MNQ,0.0,675.0
455,Mohit Kumar Saini,25650.0,1,ES,875.0,650.0
456,Eric W,25646.9,19,"MET, SIL",-817.45,646.9
457,T Wilde,25646.35,82,"MBT, MCL",-33.0,646.35
458,Mani,25645.0,30,"MGC, SIL",-2916.0,645.0
459,Andre.S,25637.0,20,"MGC, ES",0.0,637.0
460,Andrew Haveron,25634.83,36,"SIL, MHG",-585.0,634.83
461,Alexey P,25625.0,3,"ZM, ZW",1587.5,625.0
462,jamin51,25624.5,11,"MYM, MGC",-972.0,624.5
463,J Zin 39 X39,25614.0,4,"CL, MGC",3302.0,614.0
464,ZONE,25612.0,5,"MNG, MNQ",-1739.5,612.0
465,717,25608.5,17,"MNQ, MNI",1739.5,608.5
466,Rohit Hooda,25606.25,3,"E7, YM",-535.0,606.25
467,TRIPLEPHASE,25598.0,22,"ES, MGC",0.0,598.0
468,JMoney,25591.5,11,MBT,0.0,591.5
469,ElBlanco,25587.5,1,ES,875.0,587.5
470,GWOFZONE,25583.0,4,"SIL, MNQ",2312.0,583.0
471,Swapnajit Dey,25582.5,66,"MNQ, CL",-1339.5,582.5
472,traderKMB,25577.5,4,"MGC, MNQ",0.0,577.5
473,JustinN,25574.37,61,"SIL, MGC",11471.5,574.37
474,Rahul,25569.5,20,"NG, MNQ",0.0,569.5
475,1p6h8c3,25558.5,17,"MNQ, MGC",2268.0,558.5
476,DAVID,25550.0,8,ES,-1287.5,550.0
477,zack78,25534.0,10,MGC,0.0,534.0
478,kg,25530.0,3,NG,5980.0,530.0
479,psycho_drama_beauty_queen,25513.3,6,"PL, CL",0.0,513.3
480,agnieszka,25500.0,25,ES,-875.0,500.0
481,Richard Stolle,25487.0,48,"MBT, MNQ",-767.0,487.0
482,Ezequiel Schecheleski,25484.5,16,"MGC, MNQ",0.0,484.5
483,sabotombo,25480.0,2,RTY,0.0,480.0
484,MindChart,25463.0,54,"YM, MNQ",0.0,463.0
485,djp712,25457.5,10,"YM, ES",470.0,457.5
486,GoDawgs,25450.0,7,"NG, CL",0.0,450.0
487,Peloshig,25450.0,2,"ES, MES",961.25,450.0
488,JYang,25447.5,12,"6N, 6E",-805.0,447.5
489,Daniel,25439.0,46,"MNQ, MES",0.0,439.0
490,Naman Bansal,25434.0,11,"NG, MNG",-648.0,434.0
491,ASPine,25431.25,4,6E,0.0,431.25
492,Charlie-algo-logic,25420.0,3,MGC,2916.0,420.0
